vocabulary size: 123
n tunes: 400
n train tunes: 368
n validation tunes: 32
761/2200 (epoch 69.182) train_loss=525.62530518 time/batch=9.78s
762/2200 (epoch 69.273) train_loss=744.72863770 time/batch=39.26s
763/2200 (epoch 69.364) train_loss=1014.42041016 time/batch=19.17s
764/2200 (epoch 69.455) train_loss=640.05541992 time/batch=54.45s
765/2200 (epoch 69.545) train_loss=349.41531372 time/batch=6.66s
766/2200 (epoch 69.636) train_loss=657.14617920 time/batch=11.66s
767/2200 (epoch 69.727) train_loss=623.37969971 time/batch=13.34s
768/2200 (epoch 69.818) train_loss=410.02661133 time/batch=7.73s
769/2200 (epoch 69.909) train_loss=866.97949219 time/batch=16.15s
770/2200 (epoch 70.000) train_loss=629.05694580 time/batch=34.38s
setting learning rate to 0.0006744
  saved to metadata/configSample--20250116-172737.pkl
771/2200 (epoch 70.091) train_loss=571.31591797 time/batch=10.77s
772/2200 (epoch 70.182) train_loss=1167.75671387 time/batch=22.52s
773/2200 (epoch 70.273) train_loss=765.61669922 time/batch=39.04s
774/2200 (epoch 70.364) train_loss=859.76367188 time/batch=16.26s
775/2200 (epoch 70.455) train_loss=607.37225342 time/batch=11.62s
776/2200 (epoch 70.545) train_loss=753.19805908 time/batch=14.43s
777/2200 (epoch 70.636) train_loss=1104.63183594 time/batch=26.41s
778/2200 (epoch 70.727) train_loss=571.55682373 time/batch=14.68s
779/2200 (epoch 70.818) train_loss=545.61114502 time/batch=34.43s
780/2200 (epoch 70.909) train_loss=385.84674072 time/batch=32.76s
781/2200 (epoch 71.000) train_loss=375.42031860 time/batch=6.84s
setting learning rate to 0.0006542
782/2200 (epoch 71.091) train_loss=1212.20776367 time/batch=26.72s
783/2200 (epoch 71.182) train_loss=642.65789795 time/batch=11.34s
784/2200 (epoch 71.273) train_loss=862.82592773 time/batch=16.11s
785/2200 (epoch 71.364) train_loss=519.20733643 time/batch=29.19s
786/2200 (epoch 71.455) train_loss=526.51379395 time/batch=4.34s
787/2200 (epoch 71.545) train_loss=999.96099854 time/batch=8.18s
788/2200 (epoch 71.636) train_loss=609.94964600 time/batch=5.28s
789/2200 (epoch 71.727) train_loss=688.47619629 time/batch=16.99s
790/2200 (epoch 71.818) train_loss=401.25265503 time/batch=14.31s
791/2200 (epoch 71.909) train_loss=341.15197754 time/batch=2.91s
792/2200 (epoch 72.000) train_loss=910.90850830 time/batch=8.52s
setting learning rate to 0.0006346
793/2200 (epoch 72.091) train_loss=1042.50207520 time/batch=8.32s
794/2200 (epoch 72.182) train_loss=1100.19274902 time/batch=9.35s
795/2200 (epoch 72.273) train_loss=770.24914551 time/batch=16.97s
796/2200 (epoch 72.364) train_loss=504.80020142 time/batch=3.90s
797/2200 (epoch 72.455) train_loss=338.12847900 time/batch=2.71s
798/2200 (epoch 72.545) train_loss=627.16699219 time/batch=23.70s
799/2200 (epoch 72.636) train_loss=507.73440552 time/batch=4.42s
800/2200 (epoch 72.727) train_loss=1020.05456543 time/batch=11.33s
801/2200 (epoch 72.818) train_loss=794.45080566 time/batch=6.40s
802/2200 (epoch 72.909) train_loss=506.09582520 time/batch=14.70s
803/2200 (epoch 73.000) train_loss=548.63555908 time/batch=4.90s
setting learning rate to 0.0006155
804/2200 (epoch 73.091) train_loss=614.24633789 time/batch=4.95s
805/2200 (epoch 73.182) train_loss=351.95327759 time/batch=2.95s
806/2200 (epoch 73.273) train_loss=457.25756836 time/batch=14.80s
807/2200 (epoch 73.364) train_loss=444.56817627 time/batch=3.83s
808/2200 (epoch 73.455) train_loss=1131.59790039 time/batch=9.38s
809/2200 (epoch 73.545) train_loss=840.23675537 time/batch=6.45s
810/2200 (epoch 73.636) train_loss=802.24279785 time/batch=16.93s
811/2200 (epoch 73.727) train_loss=422.05166626 time/batch=14.17s
812/2200 (epoch 73.818) train_loss=779.28698730 time/batch=7.05s
813/2200 (epoch 73.909) train_loss=1099.70092773 time/batch=10.36s
814/2200 (epoch 74.000) train_loss=696.06231689 time/batch=11.46s
setting learning rate to 0.0005971
815/2200 (epoch 74.091) train_loss=1179.91210938 time/batch=11.36s
816/2200 (epoch 74.182) train_loss=577.36920166 time/batch=4.66s
817/2200 (epoch 74.273) train_loss=1055.04492188 time/batch=8.47s
818/2200 (epoch 74.364) train_loss=873.27441406 time/batch=7.27s
819/2200 (epoch 74.455) train_loss=762.21588135 time/batch=17.00s
820/2200 (epoch 74.545) train_loss=587.74438477 time/batch=5.16s
821/2200 (epoch 74.636) train_loss=577.25903320 time/batch=5.76s
822/2200 (epoch 74.727) train_loss=561.94073486 time/batch=14.94s
823/2200 (epoch 74.818) train_loss=624.91436768 time/batch=24.28s
824/2200 (epoch 74.909) train_loss=392.98587036 time/batch=5.99s
825/2200 (epoch 75.000) train_loss=453.76770020 time/batch=6.20s
setting learning rate to 0.0005792
826/2200 (epoch 75.091) train_loss=848.50622559 time/batch=6.53s
827/2200 (epoch 75.182) train_loss=360.99618530 time/batch=16.16s
828/2200 (epoch 75.273) train_loss=1127.82482910 time/batch=21.77s
829/2200 (epoch 75.364) train_loss=376.70544434 time/batch=6.96s
830/2200 (epoch 75.455) train_loss=548.71160889 time/batch=10.07s
831/2200 (epoch 75.545) train_loss=823.32141113 time/batch=39.26s
832/2200 (epoch 75.636) train_loss=1158.32714844 time/batch=26.62s
833/2200 (epoch 75.727) train_loss=650.88958740 time/batch=12.05s
834/2200 (epoch 75.818) train_loss=464.26577759 time/batch=34.61s
835/2200 (epoch 75.909) train_loss=658.88250732 time/batch=15.55s
836/2200 (epoch 76.000) train_loss=502.32467651 time/batch=15.88s
setting learning rate to 0.0005618
837/2200 (epoch 76.091) train_loss=761.15777588 time/batch=38.34s
838/2200 (epoch 76.182) train_loss=489.07232666 time/batch=15.25s
839/2200 (epoch 76.273) train_loss=627.08575439 time/batch=36.85s
840/2200 (epoch 76.364) train_loss=1202.04833984 time/batch=13.08s
841/2200 (epoch 76.455) train_loss=355.28988647 time/batch=3.12s
842/2200 (epoch 76.545) train_loss=1024.00683594 time/batch=8.76s
843/2200 (epoch 76.636) train_loss=411.63113403 time/batch=3.93s
844/2200 (epoch 76.727) train_loss=538.23754883 time/batch=4.67s
845/2200 (epoch 76.818) train_loss=846.20153809 time/batch=7.32s
846/2200 (epoch 76.909) train_loss=861.94006348 time/batch=8.89s
847/2200 (epoch 77.000) train_loss=640.81890869 time/batch=5.29s
setting learning rate to 0.0005449
848/2200 (epoch 77.091) train_loss=1113.73034668 time/batch=9.77s
849/2200 (epoch 77.182) train_loss=749.85748291 time/batch=17.93s
850/2200 (epoch 77.273) train_loss=829.46075439 time/batch=7.16s
851/2200 (epoch 77.364) train_loss=636.09503174 time/batch=24.81s
852/2200 (epoch 77.455) train_loss=658.71179199 time/batch=5.95s
853/2200 (epoch 77.545) train_loss=807.10363770 time/batch=7.46s
854/2200 (epoch 77.636) train_loss=490.51724243 time/batch=15.61s
855/2200 (epoch 77.727) train_loss=337.51840210 time/batch=2.96s
856/2200 (epoch 77.818) train_loss=1129.35632324 time/batch=11.96s
857/2200 (epoch 77.909) train_loss=558.17822266 time/batch=5.91s
858/2200 (epoch 78.000) train_loss=528.77673340 time/batch=7.53s
setting learning rate to 0.0005286
859/2200 (epoch 78.091) train_loss=1056.03076172 time/batch=8.92s
860/2200 (epoch 78.182) train_loss=378.42813110 time/batch=14.70s
861/2200 (epoch 78.273) train_loss=515.49719238 time/batch=15.61s
862/2200 (epoch 78.364) train_loss=352.55331421 time/batch=3.04s
863/2200 (epoch 78.455) train_loss=637.65069580 time/batch=24.67s
864/2200 (epoch 78.545) train_loss=516.51574707 time/batch=4.38s
865/2200 (epoch 78.636) train_loss=750.02624512 time/batch=6.41s
866/2200 (epoch 78.727) train_loss=663.81433105 time/batch=5.39s
867/2200 (epoch 78.818) train_loss=1180.17541504 time/batch=11.90s
868/2200 (epoch 78.909) train_loss=826.90484619 time/batch=7.09s
869/2200 (epoch 79.000) train_loss=877.85784912 time/batch=17.62s
setting learning rate to 0.0005127
870/2200 (epoch 79.091) train_loss=934.08007812 time/batch=7.89s
871/2200 (epoch 79.182) train_loss=1007.63116455 time/batch=8.92s
872/2200 (epoch 79.273) train_loss=611.92816162 time/batch=24.97s
873/2200 (epoch 79.364) train_loss=751.74792480 time/batch=17.93s
874/2200 (epoch 79.455) train_loss=637.59967041 time/batch=5.26s
875/2200 (epoch 79.545) train_loss=508.27914429 time/batch=4.31s
876/2200 (epoch 79.636) train_loss=485.33227539 time/batch=4.66s
877/2200 (epoch 79.727) train_loss=334.83914185 time/batch=2.97s
878/2200 (epoch 79.818) train_loss=997.04333496 time/batch=9.69s
879/2200 (epoch 79.909) train_loss=970.37030029 time/batch=12.00s
880/2200 (epoch 80.000) train_loss=414.12512207 time/batch=3.48s
setting learning rate to 0.0004973
  saved to metadata/configSample--20250116-172737.pkl
881/2200 (epoch 80.091) train_loss=798.35925293 time/batch=6.75s
882/2200 (epoch 80.182) train_loss=549.43951416 time/batch=4.74s
883/2200 (epoch 80.273) train_loss=736.79278564 time/batch=17.77s
884/2200 (epoch 80.364) train_loss=395.08346558 time/batch=3.46s
885/2200 (epoch 80.455) train_loss=1023.68737793 time/batch=8.79s
886/2200 (epoch 80.545) train_loss=615.31384277 time/batch=24.57s
887/2200 (epoch 80.636) train_loss=961.66033936 time/batch=9.16s
888/2200 (epoch 80.727) train_loss=1106.44128418 time/batch=11.89s
889/2200 (epoch 80.818) train_loss=691.55999756 time/batch=5.98s
890/2200 (epoch 80.909) train_loss=343.03894043 time/batch=3.42s
891/2200 (epoch 81.000) train_loss=516.16290283 time/batch=15.42s
setting learning rate to 0.0004824
892/2200 (epoch 81.091) train_loss=974.72186279 time/batch=8.31s
893/2200 (epoch 81.182) train_loss=513.06079102 time/batch=15.46s
894/2200 (epoch 81.273) train_loss=568.93872070 time/batch=4.80s
895/2200 (epoch 81.364) train_loss=758.93829346 time/batch=17.48s
896/2200 (epoch 81.455) train_loss=392.85205078 time/batch=14.47s
897/2200 (epoch 81.545) train_loss=514.44665527 time/batch=5.06s
898/2200 (epoch 81.636) train_loss=586.48846436 time/batch=24.42s
899/2200 (epoch 81.727) train_loss=878.89923096 time/batch=6.89s
900/2200 (epoch 81.818) train_loss=1404.40893555 time/batch=9.76s
901/2200 (epoch 81.909) train_loss=1002.08569336 time/batch=11.91s
902/2200 (epoch 82.000) train_loss=482.83535767 time/batch=5.09s
setting learning rate to 0.0004679
903/2200 (epoch 82.091) train_loss=515.48907471 time/batch=4.37s
904/2200 (epoch 82.182) train_loss=385.99240112 time/batch=14.60s
905/2200 (epoch 82.273) train_loss=575.80895996 time/batch=24.42s
906/2200 (epoch 82.364) train_loss=815.56475830 time/batch=6.65s
907/2200 (epoch 82.455) train_loss=1178.87036133 time/batch=11.84s
908/2200 (epoch 82.545) train_loss=903.03277588 time/batch=7.63s
909/2200 (epoch 82.636) train_loss=505.68469238 time/batch=15.41s
910/2200 (epoch 82.727) train_loss=669.03533936 time/batch=5.50s
911/2200 (epoch 82.818) train_loss=717.15545654 time/batch=17.51s
912/2200 (epoch 82.909) train_loss=402.89895630 time/batch=3.40s
913/2200 (epoch 83.000) train_loss=832.90789795 time/batch=8.24s
setting learning rate to 0.0004539
914/2200 (epoch 83.091) train_loss=1172.08557129 time/batch=11.85s
915/2200 (epoch 83.182) train_loss=389.26266479 time/batch=14.42s
916/2200 (epoch 83.273) train_loss=570.15625000 time/batch=24.46s
917/2200 (epoch 83.364) train_loss=398.99890137 time/batch=3.42s
918/2200 (epoch 83.455) train_loss=823.33197021 time/batch=6.92s
919/2200 (epoch 83.545) train_loss=533.64520264 time/batch=4.70s
920/2200 (epoch 83.636) train_loss=483.77319336 time/batch=4.69s
921/2200 (epoch 83.727) train_loss=651.16430664 time/batch=5.47s
922/2200 (epoch 83.818) train_loss=694.90484619 time/batch=17.58s
923/2200 (epoch 83.909) train_loss=1037.73425293 time/batch=8.78s
924/2200 (epoch 84.000) train_loss=917.84136963 time/batch=8.70s
setting learning rate to 0.0004403
925/2200 (epoch 84.091) train_loss=831.44696045 time/batch=6.86s
926/2200 (epoch 84.182) train_loss=396.57006836 time/batch=14.61s
927/2200 (epoch 84.273) train_loss=641.25738525 time/batch=5.34s
928/2200 (epoch 84.364) train_loss=568.09381104 time/batch=24.70s
929/2200 (epoch 84.455) train_loss=399.59149170 time/batch=3.45s
930/2200 (epoch 84.545) train_loss=771.73016357 time/batch=17.72s
931/2200 (epoch 84.636) train_loss=1111.37939453 time/batch=9.82s
932/2200 (epoch 84.727) train_loss=686.85693359 time/batch=6.96s
933/2200 (epoch 84.818) train_loss=891.50299072 time/batch=7.98s
934/2200 (epoch 84.909) train_loss=956.26068115 time/batch=11.83s
935/2200 (epoch 85.000) train_loss=490.62332153 time/batch=4.00s
setting learning rate to 0.0004271
936/2200 (epoch 85.091) train_loss=671.47399902 time/batch=5.57s
937/2200 (epoch 85.182) train_loss=834.64245605 time/batch=7.24s
938/2200 (epoch 85.273) train_loss=1058.51330566 time/batch=9.17s
939/2200 (epoch 85.364) train_loss=481.44107056 time/batch=15.51s
940/2200 (epoch 85.455) train_loss=1149.00952148 time/batch=11.97s
941/2200 (epoch 85.545) train_loss=703.88092041 time/batch=17.64s
942/2200 (epoch 85.636) train_loss=781.70935059 time/batch=7.35s
943/2200 (epoch 85.727) train_loss=626.08050537 time/batch=24.42s
944/2200 (epoch 85.818) train_loss=656.39691162 time/batch=7.52s
945/2200 (epoch 85.909) train_loss=497.29711914 time/batch=4.03s
946/2200 (epoch 86.000) train_loss=342.71621704 time/batch=2.97s
setting learning rate to 0.0004143
947/2200 (epoch 86.091) train_loss=1094.26232910 time/batch=9.52s
948/2200 (epoch 86.182) train_loss=359.02691650 time/batch=14.54s
949/2200 (epoch 86.273) train_loss=732.90380859 time/batch=17.74s
950/2200 (epoch 86.364) train_loss=978.51629639 time/batch=9.60s
951/2200 (epoch 86.455) train_loss=787.61676025 time/batch=6.58s
952/2200 (epoch 86.545) train_loss=813.76513672 time/batch=7.09s
953/2200 (epoch 86.636) train_loss=393.87179565 time/batch=3.30s
954/2200 (epoch 86.727) train_loss=540.31671143 time/batch=4.69s
955/2200 (epoch 86.818) train_loss=595.72900391 time/batch=24.39s
956/2200 (epoch 86.909) train_loss=502.67306519 time/batch=15.42s
957/2200 (epoch 87.000) train_loss=795.63262939 time/batch=10.34s
setting learning rate to 0.0004018
958/2200 (epoch 87.091) train_loss=1185.61547852 time/batch=11.86s
959/2200 (epoch 87.182) train_loss=1057.77404785 time/batch=8.89s
960/2200 (epoch 87.273) train_loss=476.17443848 time/batch=3.95s
961/2200 (epoch 87.364) train_loss=577.97637939 time/batch=24.63s
962/2200 (epoch 87.455) train_loss=737.18878174 time/batch=17.77s
963/2200 (epoch 87.545) train_loss=756.24981689 time/batch=6.52s
964/2200 (epoch 87.636) train_loss=853.77044678 time/batch=7.51s
965/2200 (epoch 87.727) train_loss=335.79058838 time/batch=2.94s
966/2200 (epoch 87.818) train_loss=493.45123291 time/batch=15.45s
967/2200 (epoch 87.909) train_loss=581.21203613 time/batch=5.11s
968/2200 (epoch 88.000) train_loss=518.11059570 time/batch=12.12s
setting learning rate to 0.0003898
969/2200 (epoch 88.091) train_loss=365.87014771 time/batch=3.25s
970/2200 (epoch 88.182) train_loss=510.94320679 time/batch=4.33s
971/2200 (epoch 88.273) train_loss=1171.95422363 time/batch=11.90s
972/2200 (epoch 88.364) train_loss=616.42028809 time/batch=5.22s
973/2200 (epoch 88.455) train_loss=1023.87805176 time/batch=8.46s
974/2200 (epoch 88.545) train_loss=858.37115479 time/batch=7.15s
975/2200 (epoch 88.636) train_loss=494.05389404 time/batch=15.38s
976/2200 (epoch 88.727) train_loss=732.82226562 time/batch=17.42s
977/2200 (epoch 88.818) train_loss=607.76910400 time/batch=5.99s
978/2200 (epoch 88.909) train_loss=606.86816406 time/batch=24.56s
979/2200 (epoch 89.000) train_loss=757.02746582 time/batch=8.74s
setting learning rate to 0.0003781
980/2200 (epoch 89.091) train_loss=1100.09704590 time/batch=9.65s
981/2200 (epoch 89.182) train_loss=506.96380615 time/batch=4.03s
982/2200 (epoch 89.273) train_loss=601.34020996 time/batch=5.11s
983/2200 (epoch 89.364) train_loss=817.11700439 time/batch=6.80s
984/2200 (epoch 89.455) train_loss=583.14764404 time/batch=5.42s
985/2200 (epoch 89.545) train_loss=789.84875488 time/batch=7.22s
986/2200 (epoch 89.636) train_loss=416.41525269 time/batch=3.52s
987/2200 (epoch 89.727) train_loss=1095.23840332 time/batch=10.73s
988/2200 (epoch 89.818) train_loss=826.74365234 time/batch=17.61s
989/2200 (epoch 89.909) train_loss=625.94561768 time/batch=24.38s
990/2200 (epoch 90.000) train_loss=342.08856201 time/batch=2.93s
setting learning rate to 0.0003668
  saved to metadata/configSample--20250116-172737.pkl
991/2200 (epoch 90.091) train_loss=1031.82775879 time/batch=8.69s
992/2200 (epoch 90.182) train_loss=498.20565796 time/batch=4.07s
993/2200 (epoch 90.273) train_loss=766.98352051 time/batch=6.51s
994/2200 (epoch 90.364) train_loss=1164.21215820 time/batch=11.91s
995/2200 (epoch 90.455) train_loss=568.67370605 time/batch=4.86s
996/2200 (epoch 90.545) train_loss=845.70257568 time/batch=17.61s
997/2200 (epoch 90.636) train_loss=485.67459106 time/batch=15.35s
998/2200 (epoch 90.727) train_loss=823.02264404 time/batch=8.85s
999/2200 (epoch 90.818) train_loss=370.56497192 time/batch=14.55s
Validating
    loss:	1418.468384

1000/2200 (epoch 90.909) train_loss=633.94085693 time/batch=66.19s
1001/2200 (epoch 91.000) train_loss=362.04455566 time/batch=3.09s
setting learning rate to 0.0003557
1002/2200 (epoch 91.091) train_loss=1227.00292969 time/batch=11.83s
1003/2200 (epoch 91.182) train_loss=759.81939697 time/batch=17.58s
1004/2200 (epoch 91.273) train_loss=1042.26416016 time/batch=8.90s
1005/2200 (epoch 91.364) train_loss=517.99291992 time/batch=4.39s
1006/2200 (epoch 91.455) train_loss=613.80407715 time/batch=24.73s
1007/2200 (epoch 91.545) train_loss=866.11749268 time/batch=7.44s
1008/2200 (epoch 91.636) train_loss=399.35025024 time/batch=3.48s
1009/2200 (epoch 91.727) train_loss=430.49279785 time/batch=15.40s
1010/2200 (epoch 91.818) train_loss=771.95764160 time/batch=6.60s
1011/2200 (epoch 91.909) train_loss=402.36914062 time/batch=4.37s
1012/2200 (epoch 92.000) train_loss=695.17700195 time/batch=6.65s
setting learning rate to 0.0003451
1013/2200 (epoch 92.091) train_loss=470.92727661 time/batch=3.95s
1014/2200 (epoch 92.182) train_loss=606.74011230 time/batch=24.55s
1015/2200 (epoch 92.273) train_loss=781.46466064 time/batch=17.67s
1016/2200 (epoch 92.364) train_loss=758.07257080 time/batch=6.61s
1017/2200 (epoch 92.455) train_loss=863.06842041 time/batch=7.52s
1018/2200 (epoch 92.545) train_loss=934.87377930 time/batch=8.49s
1019/2200 (epoch 92.636) train_loss=721.43115234 time/batch=8.89s
1020/2200 (epoch 92.727) train_loss=483.07949829 time/batch=15.60s
1021/2200 (epoch 92.818) train_loss=331.14315796 time/batch=2.93s
1022/2200 (epoch 92.909) train_loss=1166.47143555 time/batch=12.01s
1023/2200 (epoch 93.000) train_loss=525.57958984 time/batch=4.67s
setting learning rate to 0.0003347
1024/2200 (epoch 93.091) train_loss=673.19958496 time/batch=5.57s
1025/2200 (epoch 93.182) train_loss=498.40051270 time/batch=4.02s
1026/2200 (epoch 93.273) train_loss=1117.34313965 time/batch=10.15s
1027/2200 (epoch 93.364) train_loss=523.45593262 time/batch=4.66s
1028/2200 (epoch 93.455) train_loss=338.31063843 time/batch=3.03s
1029/2200 (epoch 93.545) train_loss=796.31738281 time/batch=6.69s
1030/2200 (epoch 93.636) train_loss=479.20095825 time/batch=15.47s
1031/2200 (epoch 93.727) train_loss=778.60839844 time/batch=7.13s
1032/2200 (epoch 93.818) train_loss=354.98715210 time/batch=14.60s
1033/2200 (epoch 93.909) train_loss=845.04174805 time/batch=17.60s
1034/2200 (epoch 94.000) train_loss=957.75628662 time/batch=24.73s
setting learning rate to 0.0003247
1035/2200 (epoch 94.091) train_loss=663.73815918 time/batch=5.48s
1036/2200 (epoch 94.182) train_loss=492.67254639 time/batch=4.11s
1037/2200 (epoch 94.273) train_loss=1161.14514160 time/batch=11.89s
1038/2200 (epoch 94.364) train_loss=729.61328125 time/batch=17.62s
1039/2200 (epoch 94.455) train_loss=615.32830811 time/batch=24.62s
1040/2200 (epoch 94.545) train_loss=483.88265991 time/batch=15.50s
1041/2200 (epoch 94.636) train_loss=1014.50018311 time/batch=8.73s
1042/2200 (epoch 94.727) train_loss=645.06976318 time/batch=6.03s
1043/2200 (epoch 94.818) train_loss=335.74777222 time/batch=3.01s
1044/2200 (epoch 94.909) train_loss=881.89001465 time/batch=8.92s
1045/2200 (epoch 95.000) train_loss=492.75671387 time/batch=6.40s
setting learning rate to 0.0003149
1046/2200 (epoch 95.091) train_loss=781.85137939 time/batch=6.72s
1047/2200 (epoch 95.182) train_loss=612.83465576 time/batch=24.45s
1048/2200 (epoch 95.273) train_loss=1061.55029297 time/batch=9.38s
1049/2200 (epoch 95.364) train_loss=1121.02331543 time/batch=11.86s
1050/2200 (epoch 95.455) train_loss=332.03497314 time/batch=2.91s
1051/2200 (epoch 95.545) train_loss=791.57080078 time/batch=6.86s
1052/2200 (epoch 95.636) train_loss=565.03881836 time/batch=4.69s
1053/2200 (epoch 95.727) train_loss=604.48175049 time/batch=5.12s
1054/2200 (epoch 95.818) train_loss=765.45861816 time/batch=17.62s
1055/2200 (epoch 95.909) train_loss=493.16885376 time/batch=15.59s
1056/2200 (epoch 96.000) train_loss=618.79406738 time/batch=7.50s
setting learning rate to 0.0003055
1057/2200 (epoch 96.091) train_loss=509.53576660 time/batch=4.41s
1058/2200 (epoch 96.182) train_loss=1139.57580566 time/batch=10.75s
1059/2200 (epoch 96.273) train_loss=519.20379639 time/batch=4.85s
1060/2200 (epoch 96.364) train_loss=1052.82446289 time/batch=12.04s
1061/2200 (epoch 96.455) train_loss=409.73852539 time/batch=3.53s
1062/2200 (epoch 96.545) train_loss=334.81063843 time/batch=2.99s
1063/2200 (epoch 96.636) train_loss=726.67956543 time/batch=17.70s
1064/2200 (epoch 96.727) train_loss=815.58404541 time/batch=6.85s
1065/2200 (epoch 96.818) train_loss=467.99688721 time/batch=15.65s
1066/2200 (epoch 96.909) train_loss=731.39263916 time/batch=7.17s
1067/2200 (epoch 97.000) train_loss=742.29370117 time/batch=7.49s
setting learning rate to 0.0002963
1068/2200 (epoch 97.091) train_loss=737.90039062 time/batch=6.56s
1069/2200 (epoch 97.182) train_loss=1230.71606445 time/batch=11.95s
1070/2200 (epoch 97.273) train_loss=751.04199219 time/batch=17.70s
1071/2200 (epoch 97.364) train_loss=373.19989014 time/batch=14.70s
1072/2200 (epoch 97.455) train_loss=520.95721436 time/batch=4.63s
1073/2200 (epoch 97.545) train_loss=1046.72875977 time/batch=8.98s
1074/2200 (epoch 97.636) train_loss=560.42559814 time/batch=24.88s
1075/2200 (epoch 97.727) train_loss=632.19995117 time/batch=5.28s
1076/2200 (epoch 97.818) train_loss=466.79229736 time/batch=15.54s
1077/2200 (epoch 97.909) train_loss=846.57952881 time/batch=7.51s
1078/2200 (epoch 98.000) train_loss=423.86520386 time/batch=3.88s
setting learning rate to 0.0002874
1079/2200 (epoch 98.091) train_loss=947.71508789 time/batch=8.30s
1080/2200 (epoch 98.182) train_loss=1029.37805176 time/batch=9.30s
1081/2200 (epoch 98.273) train_loss=755.95666504 time/batch=17.81s
1082/2200 (epoch 98.364) train_loss=614.78271484 time/batch=5.27s
1083/2200 (epoch 98.455) train_loss=1073.00476074 time/batch=11.96s
1084/2200 (epoch 98.545) train_loss=520.33038330 time/batch=15.62s
1085/2200 (epoch 98.636) train_loss=484.42425537 time/batch=4.11s
1086/2200 (epoch 98.727) train_loss=737.32647705 time/batch=6.58s
1087/2200 (epoch 98.818) train_loss=387.88607788 time/batch=4.17s
1088/2200 (epoch 98.909) train_loss=427.57748413 time/batch=5.29s
1089/2200 (epoch 99.000) train_loss=513.90454102 time/batch=14.67s
setting learning rate to 0.0002788
1090/2200 (epoch 99.091) train_loss=764.91235352 time/batch=6.59s
1091/2200 (epoch 99.182) train_loss=818.67749023 time/batch=17.67s
1092/2200 (epoch 99.273) train_loss=576.16931152 time/batch=5.10s
1093/2200 (epoch 99.364) train_loss=1161.77062988 time/batch=11.86s
1094/2200 (epoch 99.455) train_loss=383.71221924 time/batch=14.57s
1095/2200 (epoch 99.545) train_loss=886.66528320 time/batch=7.80s
1096/2200 (epoch 99.636) train_loss=400.33068848 time/batch=3.28s
1097/2200 (epoch 99.727) train_loss=888.14794922 time/batch=8.37s
1098/2200 (epoch 99.818) train_loss=503.20266724 time/batch=3.97s
1099/2200 (epoch 99.909) train_loss=443.72073364 time/batch=15.36s
1100/2200 (epoch 100.000) train_loss=728.93499756 time/batch=8.77s
setting learning rate to 0.0002705
  saved to metadata/configSample--20250116-172737.pkl
1101/2200 (epoch 100.091) train_loss=1094.33508301 time/batch=9.50s
1102/2200 (epoch 100.182) train_loss=1154.25341797 time/batch=11.00s
1103/2200 (epoch 100.273) train_loss=341.71905518 time/batch=3.03s
1104/2200 (epoch 100.364) train_loss=541.15386963 time/batch=4.69s
1105/2200 (epoch 100.455) train_loss=880.32879639 time/batch=11.73s
1106/2200 (epoch 100.545) train_loss=523.94293213 time/batch=5.06s
1107/2200 (epoch 100.636) train_loss=405.33334351 time/batch=3.52s
1108/2200 (epoch 100.727) train_loss=787.07360840 time/batch=6.58s
1109/2200 (epoch 100.818) train_loss=487.72979736 time/batch=15.52s
1110/2200 (epoch 100.909) train_loss=666.72058105 time/batch=24.64s
1111/2200 (epoch 101.000) train_loss=766.00720215 time/batch=17.46s
setting learning rate to 0.0002623
1112/2200 (epoch 101.091) train_loss=778.52313232 time/batch=17.49s
1113/2200 (epoch 101.182) train_loss=1154.29858398 time/batch=11.84s
1114/2200 (epoch 101.273) train_loss=481.45117188 time/batch=3.99s
1115/2200 (epoch 101.364) train_loss=1037.07751465 time/batch=8.88s
1116/2200 (epoch 101.455) train_loss=347.47561646 time/batch=3.15s
1117/2200 (epoch 101.545) train_loss=465.91372681 time/batch=15.68s
1118/2200 (epoch 101.636) train_loss=354.23095703 time/batch=14.45s
1119/2200 (epoch 101.727) train_loss=625.87634277 time/batch=5.22s
1120/2200 (epoch 101.818) train_loss=781.94482422 time/batch=6.63s
1121/2200 (epoch 101.909) train_loss=864.06854248 time/batch=7.46s
1122/2200 (epoch 102.000) train_loss=673.00476074 time/batch=24.54s
setting learning rate to 0.0002545
1123/2200 (epoch 102.091) train_loss=765.14825439 time/batch=6.61s
1124/2200 (epoch 102.182) train_loss=912.15625000 time/batch=8.11s
1125/2200 (epoch 102.273) train_loss=1166.94531250 time/batch=10.78s
1126/2200 (epoch 102.364) train_loss=780.13928223 time/batch=17.48s
1127/2200 (epoch 102.455) train_loss=662.40417480 time/batch=5.49s
1128/2200 (epoch 102.545) train_loss=520.49218750 time/batch=4.67s
1129/2200 (epoch 102.636) train_loss=997.57135010 time/batch=11.80s
1130/2200 (epoch 102.727) train_loss=608.40600586 time/batch=24.73s
1131/2200 (epoch 102.818) train_loss=362.98919678 time/batch=3.24s
1132/2200 (epoch 102.909) train_loss=469.44424438 time/batch=3.96s
1133/2200 (epoch 103.000) train_loss=502.61602783 time/batch=15.53s
setting learning rate to 0.0002468
1134/2200 (epoch 103.091) train_loss=883.09265137 time/batch=7.85s
1135/2200 (epoch 103.182) train_loss=461.58526611 time/batch=15.39s
1136/2200 (epoch 103.273) train_loss=582.53234863 time/batch=24.40s
